Country,PAP Year,Scenario,CapacityElec,CapacitySolar,CapacityWind,CapacityBattery,CapacityStorage,Objective
FI,22,GridPriceDown,185.59892313527473,359.53079422544675,284.2477933810676,0.0,375828.0095939661,97248302.51436035
FI,22,GridPriceUp,174.20588439355132,1000.0,284.5153185476677,0.0,358029.7589104546,86244432.9350776
FI,22,CapexElecDown,181.94613443494876,612.9182227708311,266.90479713625666,0.0,440862.96367341233,87890141.86300877
FI,22,CapexElecUp,172.07602978649237,711.3722477980301,277.5017010216136,0.0,414317.86311471346,99285695.5580143
FI,22,RElecDown,179.70448338992546,629.2871190760449,268.48011980447234,0.0,438043.69007859525,90212472.6603035
FI,22,RElecUp,172.23453915553134,705.6175900637392,277.46887117445533,0.0,414368.70952669124,98965638.50059451
FI,22,EfficiencyElecDown,221.81316524240793,867.8477904566716,330.40854012543446,0.0,467090.454704184,115622809.60525191
FI,22,EfficiencyElecUp,146.1531514853706,509.2327918198451,234.5530720925361,0.0,392816.49889651407,78972460.84112464
FI,20,GridPriceDown,165.2900258361574,300.31257745001494,391.19447358018965,0.0,157143.35832895813,70626240.0621762
FI,20,GridPriceUp,157.7928545872732,1000.0,1000.0,0.0,63234.88882392028,50957554.90868441
FI,20,CapexElecDown,163.67293670783414,1000.0,427.1903541063083,0.0,103917.16126930038,59728050.63830181
FI,20,CapexElecUp,151.47868804418317,1000.0,456.8665944148366,0.0,98770.94218460197,69837509.70181777
FI,20,RElecDown,160.25457226475731,1000.0,432.0334597627517,0.0,102834.00391706906,61808842.264285944
FI,20,RElecUp,151.58685695736418,1000.0,455.88661080077077,0.0,99215.55499560782,69555786.27803889
FI,20,EfficiencyElecDown,195.3414730269753,1000.0,547.7931801760866,0.0,111593.14655055173,80589920.7604317
FI,20,EfficiencyElecUp,129.70857700695316,881.8189802641629,369.59275397336705,0.0,88527.6068759917,54417850.769514374
SE,22,GridPriceDown,128.30412830412897,0.0,0.0,0.0,1989.1891891891191,34015114.57997082
SE,22,GridPriceUp,129.21065862242315,0.0,0.0,0.0,11905.882352941437,39605603.777005866
SE,22,CapexElecDown,128.96882219294693,0.0,0.0,0.0,8077.438570368757,32664452.979649015
SE,22,CapexElecUp,128.39967316446823,0.0,0.0,0.0,4464.339908949565,40967416.130742796
SE,22,RElecDown,128.7520117501829,0.0,0.0,0.0,6008.531383302853,34319959.549095
SE,22,RElecUp,128.3996731644675,0.0,0.0,0.0,4464.339908933247,40728721.13833
SE,22,EfficiencyElecDown,160.8944198520747,0.0,0.0,0.0,10000.0,45730778.05078596
SE,22,EfficiencyElecUp,107.06786030061896,0.0,0.0,0.0,4000.0,30875982.93471184
SE,20,GridPriceDown,128.30412830412897,0.0,0.0,0.0,1989.1891891891191,34015114.57997082
SE,20,GridPriceUp,129.21065862242315,0.0,0.0,0.0,11905.882352941437,39605603.777005866
SE,20,CapexElecDown,128.96882219294693,0.0,0.0,0.0,8077.438570368757,32664452.979649015
SE,20,CapexElecUp,128.39967316446823,0.0,0.0,0.0,4464.339908949565,40967416.130742796
SE,20,RElecDown,128.7520117501829,0.0,0.0,0.0,6008.531383302853,34319959.549095
SE,20,RElecUp,128.3996731644675,0.0,0.0,0.0,4464.339908933247,40728721.13833
SE,20,EfficiencyElecDown,160.8944198520747,0.0,0.0,0.0,10000.0,45730778.05078596
SE,20,EfficiencyElecUp,107.06786030061896,0.0,0.0,0.0,4000.0,30875982.93471184
DE,22,GridPriceDown,201.945090738244,105.87169922104833,439.45051733960923,0.0,1015150.6594738517,140920287.24213514
DE,22,GridPriceUp,198.6810598882175,122.46800294137593,448.6925471730295,0.0,863229.5194981049,137834483.34260035
DE,22,CapexElecDown,209.76411653201592,115.70810033072769,430.2412399385004,0.0,962316.5110526062,132852654.73521712
DE,22,CapexElecUp,192.9790605091709,115.01313089063113,449.2900458865034,0.0,953623.7114853397,145784408.2260686
DE,22,RElecDown,205.3548089446235,114.0849452886695,434.512195985323,0.0,970432.0508034667,135515936.31398663
DE,22,RElecUp,193.37484451211495,114.45705693753862,448.85298851519195,0.0,956871.9995710138,145425280.31360602
DE,22,EfficiencyElecDown,252.702566190315,80.39325737604497,577.1968803597794,0.0,1154252.955886795,171214254.8793542
DE,22,EfficiencyElecUp,166.94403508638763,121.83325733282562,361.13966964412054,0.0,799640.9736456102,117966999.61776853
DE,20,GridPriceDown,209.02362898160027,301.0101637764681,355.3071257060298,0.0,476859.1229716544,119051013.36813268
DE,20,GridPriceUp,200.3080590296921,324.50292599805226,372.9435403528342,0.0,411951.94668283314,114933927.44501288
DE,20,CapexElecDown,219.12432998325266,320.2893146513017,343.8868945837952,0.0,415900.7075281304,110325032.48200011
DE,20,CapexElecUp,194.36879428583677,300.0500182033231,385.0793348902164,0.0,457209.30975154426,123502153.82904764
DE,20,RElecDown,211.12420306543626,310.77235639599746,353.8509754866571,0.0,445840.83556518465,113081143.72607937
DE,20,RElecUp,194.92078847152723,301.3032601689575,383.347667456344,0.0,457386.2623898285,123140250.38618204
DE,20,EfficiencyElecDown,254.32881216704163,372.3685478411633,458.6999809010256,0.0,471318.1026973101,144828545.85822052
DE,20,EfficiencyElecUp,170.9753477978633,263.42145178791856,302.29427716910783,0.0,435890.3735857291,98570397.63897736
